Location_ID,Season,Area_Type,Na_Cl_meq,Ca_Mg_meq,HCO3_Cl_meq,Ca_SO4_meq,Mg_Ca_meq,CaMg_HCO3SO4_meq,Na_K_meq,NO3_Cl_meq,SO4_Cl_meq,HCO3_sum_anion,CAI_1,CAI_2,IonExchange,Gibbs_Cation,Gibbs_Anion,PIG,PIG_Category,NBL_total_exceed
PD-1,Premonsoon,PD,0.8185850999733779,3.91560628742515,1.1817599043777534,11.643701403163822,0.2553882915173238,1.736985298090038,6.56112412177986,0.4426044514673625,0.15936636980767674,0.4245237851087868,0.05665196538619081,0.03176037984402487,Reverse ion exchange,0.33612074240261064,0.3295804567180032,1.3994321611728395,Low,1
PD-2,Premonsoon,PD,0.8169817034298101,3.2594988042490867,0.6957429346274623,3.6507727965122383,0.3067956333336888,1.4653649376105577,7.791442155309035,0.30202588449531736,0.3084353437459359,0.30168314923255496,0.07816200846014797,0.059839044065275966,Reverse ion exchange,0.4543597800471328,0.455045871559633,4.416707186543211,Very High,3
PD-3,Premonsoon,PD,0.9061796758044526,3.196966325829762,1.9142976168070118,5.432534930139721,0.3127965383684338,1.2160301197836332,4.1532307692307695,0.26143692300342763,0.3934971224251041,0.5363332498311459,-0.12436636615594687,-0.04840605383468341,Direct ion exchange,0.32728771640560594,0.2328247564865098,3.178281997654322,Very High,1
PD-4,Premonsoon,PD,1.1129865075246497,3.281969119612016,1.4383737149993103,9.234369496301515,0.3046951276976722,1.224878835959927,11.31842105263158,0.26467181144014595,0.16278368227088655,0.50190489741243,-0.21132058631083134,-0.11325826893711011,Direct ion exchange,0.4593925387916804,0.2876978202448492,3.0674213748765435,Very High,1
PD-5,Premonsoon,PD,0.8336912065439676,2.9022283302247964,1.2155249393574403,6.469093745282544,0.3445628276678505,1.3561282937932222,6.423571428571429,0.07117945609868727,0.22451831187648147,0.4840370930894284,0.036522549804130604,0.024167549645012217,Reverse ion exchange,0.39714714714714716,0.32338596346201537,1.4130575721604943,Low,0
IA-1,Premonsoon,IA,0.8049958097281352,2.5578915968800406,1.0414226461640168,3.5898268964254902,0.39094698196739014,0.9995021738176744,6.610677382319173,0.289986942572189,0.2606328510627915,0.40177684985928513,0.07323212922995609,0.04599885492952184,Reverse ion exchange,0.49684611999413236,0.35808945334069575,4.000361144753087,Very High,4
IA-2,Premonsoon,IA,1.1937248423535376,2.5251871257485035,1.3218368509455671,10.238238906801783,0.3960102559542335,1.271292960661457,10.659709618874773,0.4184807760447174,0.12905238417874057,0.4606714525489275,-0.30570958537504067,-0.16353615578965172,Direct ion exchange,0.5090614409901281,0.3053179111628225,4.0710543445679015,Very High,3
IA-3,Premonsoon,IA,0.8680940021989694,2.8768595952570784,0.7605510496117298,4.205849694011663,0.3476012529942878,1.369778421350787,8.73751962323391,0.2228866889008507,0.2423869636211011,0.3416940466527591,0.03255354543106698,0.026556444305946825,Reverse ion exchange,0.49426328502415456,0.43306265365417573,2.965376899290124,Very High,3
IA-4,Premonsoon,IA,0.7999734698336404,2.91715848877784,1.548384726146692,5.101582957573077,0.3427993384133735,1.0410189148089581,6.207575757575758,0.13476850458127812,0.2774645263636127,0.5229937983172054,0.07115601757416966,0.03629265180160555,Reverse ion exchange,0.3934337021585344,0.27283410589541035,2.529155063919753,Very High,0
IA-5,Premonsoon,IA,0.8967829067471408,2.9915872480391332,1.392073351519831,6.255642275052545,0.3342707121964971,1.2908278009259968,6.262025316455696,0.2186819894776608,0.2546704035009063,0.4858172835895694,-0.03999262906980934,-0.0214388748454649,Direct ion exchange,0.392485549132948,0.2944491169049621,2.505490050123456,Very High,1
DY-1,Premonsoon,DY,1.0779527292428552,2.5656400952741354,2.2222965045932543,5.213218467523552,0.3897662816550079,1.0124485437608501,5.001965923984272,0.3516144106119988,0.3609925779772896,0.564765186349174,-0.2934585414824199,-0.09998916222086748,Direct ion exchange,0.3966431095406361,0.2072438504745303,3.639228900925926,Very High,2
DY-2,Premonsoon,DY,0.8653862731575812,2.213594088418907,1.247256593450869,3.238384648026782,0.45175400730956283,1.002184077530812,5.774809160305343,0.2609466939553923,0.3379099010006513,0.43823154979616613,-0.015241662164379813,-0.008256082162292809,Direct ion exchange,0.4757904383687185,0.3177730683315195,3.8843327670370384,Very High,4
DY-3,Premonsoon,DY,1.1004347826086955,2.222377986501913,1.4672238610291708,3.177569055437513,0.449968459944129,1.1993490479879616,5.646587926509185,0.30612903225806454,0.5163439516968561,0.4460057963293168,-0.29531969309462913,-0.12897763900123688,Direct ion exchange,0.4349544595291287,0.2836453832613218,2.6522819839506178,Very High,1
DY-4,Premonsoon,DY,1.1201162290142057,2.480843545467205,1.2568868653499239,3.895616849441994,0.40308870014278747,1.1947475369606206,7.20808729139923,0.5391912417048156,0.3515828368179312,0.39930821259405874,-0.2755133799824996,-0.12828532397934878,Direct ion exchange,0.4841688654353562,0.3161079426902212,4.4432325001543225,Very High,3
DY-5,Premonsoon,DY,0.8276567607465468,3.2825853148072786,1.0030550103905926,11.294901745804168,0.30463793141617407,1.4073022119492047,5.428966346153846,0.429523984927113,0.1059088642220547,0.39513878572279293,0.019891242321679794,0.01292908630922201,Reverse ion exchange,0.4426120273196735,0.3667630272033207,2.767967160555555,Very High,1
PD-1,Monsoon,PD,2.033549403218549,2.496223150030215,1.4001380183988994,3.3472676017260086,0.40060521031058294,0.9390014850736736,11.23679012345679,0.36051739031357155,0.35067002131389263,0.4500133624360328,-1.214521850054013,-0.5752414254958542,Direct ion exchange,0.6653686826843414,0.29325046972105795,1.3086570580641976,Low,3
PD-2,Monsoon,PD,1.8138455337800394,1.83606191871576,2.4425777616745528,7.395799187532793,0.5446439413652528,0.8218823101893953,4.604053333333334,0.046377976301723176,0.18935225159825517,0.6640492771669957,-1.2078126324336984,-0.4509610683816719,Direct ion exchange,0.5978337650105957,0.1921449881996705,4.394213115117285,Very High,2
PD-3,Monsoon,PD,0.30363463330265533,4.942856889770755,0.21583626657115856,5.434796470258956,0.20231214908720108,2.646773325948932,7.789939024390244,0.1377069376296168,0.14694856499361425,0.14384368578512133,0.6573875733729069,1.313483285511493,Reverse ion exchange,0.3037897928246589,0.7291188837920489,3.317366170675926,Very High,4
PD-4,Monsoon,PD,1.210690573627278,4.699674869011975,1.7328063862132048,16.7465653200641,0.2127806769344094,1.0407906442496089,10.341078838174273,0.11468162517500244,0.09359475980902421,0.5891729410620526,-0.32776642157053054,-0.16885751933616358,Direct ion exchange,0.469922000213698,0.2510874927126777,2.0734273091373456,High,3
PD-5,Monsoon,PD,0.8191658814555572,2.304064578731662,2.0410838247217327,7.147345298249013,0.43401561277005457,1.2097144583794237,2.2483307652799183,0.3189898132427844,0.27314305408105144,0.5617842253093264,-0.18350990685680665,-0.0696903932787431,Direct ion exchange,0.32504418076243374,0.221566744409384,3.131340518050926,Very High,1
IA-1,Monsoon,IA,1.0956294486693559,3.670743680657225,0.3984929492143608,6.515500476674124,0.2724243605647115,2.067634884792563,8.54036939313984,0.5077871431410215,0.13240530747556004,0.19546564136252007,-0.22391774607595685,-0.21557802402190498,Direct ion exchange,0.593100225839109,0.593146210485523,1.5308532387654323,Moderate,3
IA-2,Monsoon,IA,1.3477228519953446,3.3067301792175368,0.6704333986332097,2.4596520058287683,0.30241354625330436,1.210239466957091,4.220353982300885,0.4455519476678851,0.40706742615409436,0.2657230978093293,-0.6670616699351096,-0.4379767280550587,Direct ion exchange,0.6070519348268839,0.4642492339121553,5.806705193043211,Very High,5
IA-3,Monsoon,IA,1.6839200481025527,3.252479416167665,1.6695682241360796,6.145911496509056,0.30745774901114703,1.059621776384204,29.87866972477064,0.17469519486372878,0.2536033195202053,0.5389412667033268,-0.7402786498614025,-0.3528721039657879,Direct ion exchange,0.5535649786895903,0.2581428729159766,1.655896209299383,Moderate,3
IA-4,Monsoon,IA,0.45077937702528253,2.6379489674152596,0.34201094466622894,5.837606445400657,0.379082390278319,1.8056299469554205,11.55680751173709,0.1147936878180361,0.09888776201514238,0.21984483942680816,0.5102150951446942,0.9181610189290405,Reverse ion exchange,0.4726362746164726,0.629444420900962,6.19275031737037,Very High,4
IA-5,Monsoon,IA,0.5789352963941603,2.384308707064051,0.5886246979172766,4.681596985106132,0.4194087774948248,1.1267093756196886,4.340897235263433,0.0731390101784194,0.12018159435088081,0.33032702917935036,0.287697045949455,0.36792477050415007,Reverse ion exchange,0.5414823008849557,0.4967220612898307,5.279363693015433,Very High,4
DY-1,Monsoon,DY,2.999211466411083,2.8766403363485793,3.8148349577993526,6.439344203159946,0.3476277473287937,0.7640329665687221,7.823222748815165,0.3693424483375353,0.3683006237334131,0.6870508874194433,-2.38258435028625,-0.5233598788732934,Direct ion exchange,0.5920731707317073,0.13216209058003003,3.168569685478395,Very High,2
DY-2,Monsoon,DY,0.6788674238543875,2.8175897630904987,0.3625186204566204,4.542151578278701,0.35491327130005645,2.040320285417062,7.983387358184767,0.052714303927505785,0.17979384163811252,0.227280587498032,0.23609756614344907,0.3967847828455923,Reverse ion exchange,0.4882466930659702,0.6157626246080404,3.9416978893873473,Very High,5
DY-3,Monsoon,DY,0.33800740706264093,4.275197713498872,0.2915002484400257,7.230452686859292,0.23390731072916582,2.0542304042987243,2.7812892184826015,0.07782214899190466,0.08719484371816476,0.20013511697935776,0.5404635535205059,1.1838842102850846,Reverse ion exchange,0.3809270819497942,0.6658859470468431,6.6365033487623455,Very High,3
DY-4,Monsoon,DY,1.9262950770045786,4.255060494046077,2.408974614609372,6.500222705996459,0.23501428508460853,0.8675990228436259,6.230729964267484,0.26145357814649484,0.2918918350820409,0.6079707337329491,-1.235455494492041,-0.41705672678240513,Direct ion exchange,0.5381502023684606,0.19430446105455407,3.168473568992284,Very High,3
DY-5,Monsoon,DY,0.9573887233393555,2.526281461972321,0.7048611276937502,3.7453668759586334,0.39583871197759535,1.3926976822716552,4.9662436548223345,0.04529759935936493,0.2559581454251643,0.3513559640336368,-0.15016797258334097,-0.14925499878900292,Direct ion exchange,0.5340571640683,0.4518189798107871,3.5017288637746917,Very High,3
PD-1,Postmonsoon,PD,1.2220282456837142,7.578592814371258,1.5387089547546626,3.7481303796606262,0.1319506172839506,0.9654957031383601,6.022448979591838,0.7979030524691894,0.45331857003666104,0.40599924547084765,-0.42494042473658417,-0.15231218590171566,Direct ion exchange,0.45219123505976094,0.27407952871870395,3.2645225428688276,Very High,1
PD-2,Postmonsoon,PD,0.3887974931453193,0.8275803630215173,1.1999283867006272,3.934499545509919,1.2083418658569594,1.3649249969372337,5.273469387755102,0.35800276082534155,0.223628901922074,0.4313868352181483,0.5374754280461642,0.30168807849765333,Reverse ion exchange,0.33649588867805186,0.3262180974477958,2.88922227021142,Very High,1
PD-3,Postmonsoon,PD,0.5297563796335489,0.6226637361531439,0.588330127516959,5.217258231628346,1.6060032758259917,1.9896984788003216,10.184545454545455,0.17833152003230293,0.10085729624825931,0.3150330171862216,0.41822790871806187,0.4820965717328199,Reverse ion exchange,0.536062906724512,0.49684719702859115,5.119644980662039,Very High,3
PD-4,Postmonsoon,PD,0.8579508175436471,1.020049038413424,0.18216352272173372,1.039950271870053,0.9803450249366362,1.4249372349278793,6.405929919137466,0.6070618702356259,0.4090813737133981,0.08286537870126864,0.008118460707344599,0.006774943556314907,Reverse ion exchange,0.6983016983016983,0.7612913003940589,3.009167444955247,Very High,2
PD-5,Postmonsoon,PD,0.3704275261534741,13.99224764756202,2.2717925995216235,16.25133049745211,0.07146814616122363,1.3807573867776384,3.4888361045130645,0.21662210058773385,0.19565802203479105,0.6166524851332004,0.5233973727363594,0.19500118920706735,Reverse ion exchange,0.11793611793611794,0.20364810513793688,3.723795360398149,Very High,2
IA-1,Postmonsoon,IA,0.22501485116165787,1.9146340498118106,0.24563077363734398,9.729366246267025,0.5222930199628958,2.882126698831676,5.066806136680614,0.07023158901489274,0.05934694570959871,0.17861337335619265,0.7305755454132798,1.9471146614218449,Reverse ion exchange,0.30903832248734636,0.7028376626494455,3.707740104123457,Very High,3
IA-2,Postmonsoon,IA,0.22066008951829943,2.669233366337442,0.12187406118494694,14.17891616766467,0.3746394049360093,5.3247093178247935,2.8748778103616814,0.12122521382580007,0.04580935740054885,0.09455601283152584,0.7025853128695888,2.431859882502143,Reverse ion exchange,0.2805253770066483,0.8265955263697927,1.6606355332222298,Moderate,2
IA-3,Postmonsoon,IA,0.40176762276843764,4.619940193869686,0.20533893808359488,4.945215299963077,0.2164530184453307,2.503608067411811,3.985295875672445,0.2383849206519362,0.14637988923633705,0.12913556008247815,0.4974198816723345,0.8429363198961547,Reverse ion exchange,0.38912590534775277,0.7388528776271852,5.369773550708334,Very High,4
IA-4,Postmonsoon,IA,0.4009501568331158,2.8731287425149703,0.5266242699801116,10.181228678101965,0.34805262472319914,1.7714621780513577,14.233898305084745,0.05257070784283749,0.07804451689345905,0.31777197662684786,0.5708811610364318,0.8686044670562,Reverse ion exchange,0.36674090571640683,0.5245276764998343,6.077097546722222,Very High,2
IA-5,Postmonsoon,IA,0.34549028430412987,1.9668290100254509,0.5766183249214437,6.068174788437653,0.50843260644557,2.3143767398541204,6.400896057347671,0.16830523845086953,0.19513103040995197,0.29721757664421594,0.600534415798985,0.6388292975440535,Reverse ion exchange,0.2508656716417911,0.5018740629685158,0.6891108455745373,Insignificant,2
DY-1,Postmonsoon,DY,0.43633312471621943,9.93048278443114,0.2114434470988214,3.600096902107135,0.10070003862931869,2.2315987339395535,6.973824130879346,0.46042104831881137,0.2725876826089913,0.10874191172621693,0.5010996070924043,0.530571709982629,Reverse ion exchange,0.337881084722924,0.7331608898085876,2.3090769395000006,High,2
DY-2,Postmonsoon,DY,0.46396406388642414,1.7398547852031132,0.9498693585292826,3.828408737219123,0.5747606113479514,1.701165539922956,3.0536299765807966,0.20858089203423308,0.373385240321084,0.37517025175968566,0.38409740150240695,0.2507432448118822,Reverse ion exchange,0.27140835102618543,0.3795055108728031,5.445607777024692,Very High,3
DY-3,Postmonsoon,DY,0.525379645585003,1.924425417270236,0.11715555146166941,1.6050765828550961,0.5196356226776939,1.656310247810407,7.152830188679245,0.09495234724174001,0.24788024971745717,0.08024417978213431,0.40116975769643937,0.8721306387428676,Reverse ion exchange,0.6024700887688151,0.8321824459385789,1.4083761618750001,Low,4
DY-4,Postmonsoon,DY,0.5122781819278232,3.124175169398046,0.11104916251406499,3.33431693451463,0.320084484953088,2.8770898831888965,31.337062937062942,0.4435197123577957,0.20957722673276663,0.06294782638073865,0.47137446021810236,0.6168643132880807,Reverse ion exchange,0.4569249436644133,0.8395257753784271,3.6789288237885804,Very High,3
DY-5,Postmonsoon,DY,0.7313477087283891,1.4228760524064654,0.9995696822157992,9.757721947409529,0.7028019048523106,1.788650104870087,6.481735159817352,0.2929946748300941,0.12058423375526206,0.4142180411211007,0.1558202037679004,0.11026455730289576,Reverse ion exchange,0.4163550236848666,0.36757180156657965,1.6307133245540124,Moderate,3
